City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Broome,US,42.25,-75.83,73.0,40,40,11.41,scattered clouds
84,Misratah,LY,32.38,15.09,79.36,75,0,16.2,clear sky
85,New Norfolk,AU,-42.78,147.06,45.0,75,46,1.01,scattered clouds
86,Kapaa,US,22.08,-159.32,78.8,78,1,13.87,clear sky
87,Puerto Ayora,EC,-0.74,-90.35,73.4,64,40,13.87,scattered clouds
88,Kavieng,PG,-2.57,150.8,82.31,78,36,13.65,light rain
89,Verkhnevilyuysk,RU,63.45,120.32,47.03,96,85,4.99,overcast clouds
90,Prieska,ZA,-29.66,22.75,56.98,75,99,6.11,moderate rain
91,Port Elizabeth,ZA,-33.92,25.57,57.2,93,20,10.29,moderate rain
92,Barrow,US,71.29,-156.79,39.2,93,90,4.7,overcast clouds
93,Chokurdakh,RU,70.63,147.92,40.37,70,100,10.47,overcast clouds
94,Kosa,RU,59.94,55.0,48.11,90,36,2.98,scattered clouds
95,Bowen,AU,-20.02,148.23,60.8,93,0,5.82,clear sky
96,Mar Del Plata,AR,-38.0,-57.56,50.0,71,75,13.87,broken clouds
97,Buraydah,SA,26.33,43.98,96.8,18,20,2.24,few clouds
98,Codrington,AU,-38.27,141.97,42.06,94,12,8.19,few clouds
99,Biala Podlaska,PL,52.03,23.12,67.86,79,97,8.28,overcast clouds
100,Pangnirtung,CA,66.15,-65.71,46.4,65,20,12.75,few clouds
101,Saint-Philippe,RE,-21.36,55.77,66.2,88,75,10.29,light rain
102,Airai,TL,-8.93,125.41,57.02,43,83,3.36,broken clouds
103,Kaitangata,NZ,-46.28,169.85,48.99,50,83,6.6,broken clouds
104,Sahbuz,AZ,39.41,45.57,80.6,19,0,6.93,clear sky
105,Belmonte,BR,-15.86,-38.88,78.8,65,40,9.17,scattered clouds
106,Kemijarvi,FI,66.71,27.43,50.94,94,75,5.37,moderate rain
107,Kahului,US,20.89,-156.47,78.8,65,40,14.99,scattered clouds
108,Bontang,ID,0.13,117.5,77.4,87,95,5.48,overcast clouds
109,Schweinfurt,DE,50.05,10.23,66.0,66,57,1.01,broken clouds
110,Yerbogachen,RU,61.28,108.01,53.91,91,43,8.1,scattered clouds
111,Roald,NO,62.58,6.13,54.0,81,75,14.99,light rain
112,Mahebourg,MU,-20.41,57.7,69.8,83,75,12.75,shower rain
113,Saint-Pierre,RE,-21.34,55.48,66.2,88,75,10.29,light rain
114,Lannion,FR,48.75,-3.42,60.8,72,90,10.29,overcast clouds
115,Sibu,MY,2.3,111.82,77.0,94,40,2.24,light rain
116,Tra Vinh,VN,9.93,106.35,78.85,89,46,4.41,scattered clouds
117,Ostrovnoy,RU,68.05,39.51,57.11,83,43,14.54,scattered clouds
118,Saint George,US,37.1,-113.58,93.0,12,1,4.7,clear sky
119,Nevsehir,TR,38.92,34.67,78.8,41,40,9.17,scattered clouds
120,Glendive,US,47.11,-104.71,84.0,26,1,10.29,clear sky
121,Dondo,MZ,-19.61,34.74,71.6,73,20,13.87,few clouds
122,Praya,CV,14.92,-23.51,75.2,88,75,17.22,broken clouds
123,Cabedelo,BR,-6.98,-34.83,82.4,58,75,18.34,broken clouds
124,Saldanha,ZA,-33.01,17.94,55.4,87,94,6.93,overcast clouds
125,Waipawa,NZ,-41.41,175.52,57.2,87,100,28.86,overcast clouds
126,Pitimbu,BR,-7.47,-34.81,82.4,58,75,18.34,broken clouds
127,Marsa Matruh,EG,31.35,27.25,78.31,66,0,13.27,clear sky
128,Carnarvon,AU,-24.87,113.63,66.2,100,75,14.99,broken clouds
129,Clyde River,CA,70.47,-68.59,39.2,80,75,23.04,shower rain
130,Lebu,CL,-37.62,-73.65,53.51,70,56,7.11,broken clouds
131,Thompson,CA,55.74,-97.86,57.2,54,40,9.17,scattered clouds
132,Port Lincoln,AU,-34.73,135.87,53.15,83,31,8.7,scattered clouds
133,Berlevag,NO,70.86,29.09,54.99,80,53,6.15,broken clouds
134,Craig,US,40.52,-107.55,78.8,22,1,8.16,clear sky
135,Abashiri,JP,44.02,144.27,72.0,83,75,1.99,broken clouds
136,Kodiak,US,57.79,-152.41,42.8,87,75,4.7,broken clouds
137,Acari,PE,-15.43,-74.62,75.07,36,37,10.29,scattered clouds
138,Jinxiang,CN,22.86,115.7,79.16,82,42,5.14,scattered clouds
139,Tandur,IN,17.23,77.58,78.8,77,75,4.54,broken clouds
140,Laguna,US,38.42,-121.42,88.0,37,5,3.36,clear sky
141,Pevek,RU,69.7,170.31,35.47,85,5,7.63,clear sky
142,Komsomolskiy,UZ,40.43,71.72,73.4,31,0,4.7,clear sky
143,Kargasok,RU,59.06,80.86,44.04,97,100,5.64,overcast clouds
144,Namibe,AO,-15.2,12.15,65.19,72,0,2.84,clear sky
145,Faanui,PF,-16.48,-151.75,77.9,77,34,12.01,scattered clouds
146,Metro,ID,-5.11,105.31,73.47,91,95,4.52,overcast clouds
147,Pangai,TO,-19.8,-174.35,70.84,69,17,23.04,few clouds
148,Bahia De Caraquez,EC,-0.6,-80.42,77.0,78,90,8.05,overcast clouds
149,Lagoa,PT,39.05,-27.98,69.1,74,62,22.3,broken clouds
150,Vila Velha,BR,-20.33,-40.29,82.4,65,0,16.11,clear sky
151,Provideniya,RU,64.38,-173.3,41.29,77,100,5.37,overcast clouds
152,Havre-Saint-Pierre,CA,50.23,-63.6,57.2,71,1,20.8,clear sky
153,Wajir,KE,1.75,40.06,82.85,48,70,17.83,broken clouds
154,Oktyabrskiy,RU,54.48,53.47,49.5,81,0,2.68,clear sky
155,Touros,BR,-5.2,-35.46,84.2,54,40,17.22,scattered clouds
156,Udachnyy,RU,66.42,112.4,42.8,87,90,2.24,overcast clouds
157,Makakilo City,US,21.35,-158.09,78.8,73,1,4.7,clear sky
158,Noceto,IT,44.81,10.17,84.2,48,0,3.36,clear sky
159,Santa Cruz Cabralia,BR,-16.28,-39.02,78.8,65,40,9.17,scattered clouds
160,Sumenep,ID,-7.02,113.87,79.11,74,11,8.01,few clouds
161,Klyuchi,RU,52.27,79.17,46.27,68,63,5.68,broken clouds
162,Ulladulla,AU,-35.35,150.47,48.99,93,68,4.7,broken clouds
163,Nikolskoye,RU,59.7,30.79,61.0,77,74,4.47,broken clouds
164,Harper,LR,4.38,-7.72,76.37,82,68,10.42,broken clouds
165,Kichera,RU,55.94,110.1,54.63,69,100,0.31,overcast clouds
166,Road Town,VG,18.42,-64.62,89.6,70,40,14.99,scattered clouds
167,Ciampea,ID,-6.55,106.7,79.0,95,66,2.64,broken clouds
168,Cidreira,BR,-30.18,-50.21,57.96,92,100,15.61,overcast clouds
169,Anaconda,US,46.13,-112.94,73.4,25,1,4.7,clear sky
170,Sepolno Krajenskie,PL,53.45,17.53,60.01,86,87,5.23,overcast clouds
171,Kalamb,IN,19.05,73.95,78.62,77,99,3.98,overcast clouds
172,Ixtapa,MX,20.7,-105.2,88.0,79,90,3.36,overcast clouds
173,Arraial Do Cabo,BR,-22.97,-42.03,80.6,74,19,10.29,few clouds
174,Belozerskoye,RU,55.82,65.58,45.27,84,71,7.76,broken clouds
175,Black River,JM,18.03,-77.85,88.0,70,20,21.92,few clouds
176,East London,ZA,-33.02,27.91,59.0,93,40,6.93,light rain
177,Bethel,US,41.37,-73.41,75.99,33,1,6.93,clear sky
178,Aripuana,BR,-9.17,-60.63,106.57,15,37,3.87,scattered clouds
179,Cabo San Lucas,MX,22.89,-109.91,91.4,59,5,4.7,clear sky
180,Honningsvag,NO,70.98,25.97,52.93,87,94,5.79,overcast clouds
181,Ugoofaaru,MV,5.67,73.0,81.9,80,91,21.3,moderate rain
182,Qiongshan,CN,20.01,110.35,82.4,88,47,2.24,scattered clouds
183,Atasu,KZ,48.68,71.64,49.75,50,99,9.6,overcast clouds
184,Bubaque,GW,11.28,-15.83,76.6,87,99,20.54,light rain
185,Vaxjo,SE,56.88,14.81,55.4,87,1,8.05,clear sky
186,Portland,US,45.52,-122.68,66.0,68,75,5.82,broken clouds
187,Chapais,CA,49.78,-74.85,51.8,76,75,10.29,light rain
188,Kokoda,PG,-8.88,147.74,72.48,71,84,1.01,broken clouds
189,Depalpur,IN,22.85,75.55,75.54,86,4,2.91,clear sky
190,Harindanga,IN,22.04,88.32,86.0,94,40,6.93,haze
191,Mopipi,BW,-21.18,24.88,70.99,30,0,10.2,clear sky
192,Jacareacanga,BR,-6.22,-57.75,104.38,16,86,4.25,overcast clouds
193,Umm Lajj,SA,25.02,37.27,90.36,52,0,9.91,clear sky
194,Sakata,JP,38.92,139.85,74.55,77,1,14.34,clear sky
195,Hasaki,JP,35.73,140.83,77.0,94,75,9.17,thunderstorm
196,Thunder Bay,CA,48.4,-89.32,66.0,45,20,11.41,few clouds
197,Skibbereen,IE,51.55,-9.27,60.8,63,40,11.41,scattered clouds
198,Ponta Do Sol,PT,32.67,-17.1,72.0,69,77,5.01,broken clouds
199,Ust-Tsilma,RU,65.44,52.15,55.45,87,100,4.92,overcast clouds
200,Banjar,ID,-8.19,114.97,78.8,100,20,5.82,few clouds
201,Belle Glade,US,26.68,-80.67,91.99,68,67,4.0,broken clouds
202,Sioux Lookout,CA,50.1,-91.92,60.8,51,40,14.99,scattered clouds
203,Londiani,KE,-0.17,35.59,53.26,90,41,1.48,light rain
204,Honavar,IN,14.28,74.45,79.63,88,44,2.35,scattered clouds
205,Namatanai,PG,-3.67,152.43,79.39,79,45,6.46,scattered clouds
206,Iquitos,PE,-3.75,-73.25,87.8,66,40,3.36,scattered clouds
207,Jalu,LY,29.03,21.55,88.03,31,0,18.05,clear sky
208,Longyearbyen,SJ,78.22,15.64,42.8,100,90,2.24,fog
209,Samagaltay,RU,50.6,95.0,42.69,75,19,11.43,few clouds
210,Qaanaaq,GL,77.48,-69.36,29.26,82,1,4.0,clear sky
211,Luderitz,NA,-26.65,15.16,60.87,66,0,26.44,clear sky
212,Katangli,RU,51.71,143.23,59.05,91,99,9.44,overcast clouds
213,Ribeira Grande,PT,38.52,-28.7,75.2,53,20,20.8,few clouds
214,Lenart,SI,46.58,15.83,75.2,60,23,5.82,few clouds
215,Bambous Virieux,MU,-20.34,57.76,69.8,83,75,12.75,shower rain
216,Coihaique,CL,-45.58,-72.07,48.2,58,75,3.36,broken clouds
217,Torbay,CA,47.67,-52.73,79.0,69,90,21.92,overcast clouds
218,Georgetown,MY,5.41,100.34,80.6,88,20,3.36,few clouds
219,Alofi,NU,-19.06,-169.92,68.0,68,21,9.17,few clouds
220,Finschhafen,PG,-6.6,147.87,78.08,79,100,8.14,overcast clouds
221,Springdale,US,36.19,-94.13,84.0,78,75,8.05,broken clouds
222,Dingle,PH,11.0,122.67,77.16,90,98,2.48,overcast clouds
223,Chauk,MM,20.88,94.82,82.9,80,62,9.93,broken clouds
224,Padang,ID,-0.95,100.35,76.91,78,100,7.09,overcast clouds
225,Haines Junction,CA,60.75,-137.51,49.77,58,40,1.95,scattered clouds
226,Yenagoa,NG,4.92,6.26,75.02,89,100,6.29,overcast clouds
227,Ferzikovo,RU,54.52,36.76,59.0,82,63,2.24,broken clouds
228,Chuy,UY,-33.7,-53.46,56.89,63,6,9.75,clear sky
229,Angoche,MZ,-16.23,39.91,71.28,76,12,10.18,few clouds
230,Maun,BW,-19.98,23.42,80.6,24,0,10.29,clear sky
231,Mayumba,GA,-3.43,10.66,74.62,81,76,6.53,broken clouds
232,Bredasdorp,ZA,-34.53,20.04,55.4,87,100,4.7,overcast clouds
233,Sao Joao Da Barra,BR,-21.64,-41.05,84.2,54,20,10.04,few clouds
234,Marshall,US,34.38,-86.33,81.0,51,1,4.7,clear sky
235,Port Blair,IN,11.67,92.75,83.07,78,82,5.3,broken clouds
236,Tasiilaq,GL,65.61,-37.64,42.8,81,75,9.17,broken clouds
237,Opuwo,NA,-18.06,13.84,72.81,27,15,5.48,few clouds
238,Mantua,IT,45.17,10.78,80.01,70,0,3.04,clear sky
239,Angatuba,BR,-23.49,-48.41,88.56,25,19,7.9,few clouds
240,Moose Factory,CA,51.26,-80.61,57.2,76,20,10.29,few clouds
241,Nautla,MX,20.22,-96.78,75.06,92,100,10.63,overcast clouds
242,Quepos,CR,9.42,-84.17,77.0,73,75,11.41,broken clouds
243,Vao,NC,-22.67,167.48,69.49,73,52,21.61,broken clouds
244,Plettenberg Bay,ZA,-34.05,23.37,57.0,85,99,4.74,light rain
245,Gorno-Altaysk,RU,51.96,85.95,45.1,73,99,2.73,overcast clouds
246,Sao Filipe,CV,14.9,-24.5,80.73,75,100,2.26,light rain
247,Baykit,RU,61.67,96.37,50.56,88,100,5.86,moderate rain
248,Lemoore,US,36.3,-119.78,87.8,48,1,5.17,haze
249,Sitka,US,57.05,-135.33,50.0,87,20,4.7,few clouds
250,Marang,MY,5.21,103.21,78.8,88,20,2.24,few clouds
251,Preobrazheniye,RU,42.9,133.91,66.81,63,100,5.06,overcast clouds
252,Takoradi,GH,4.88,-1.76,76.21,82,92,10.63,overcast clouds
253,Vila Franca Do Campo,PT,37.72,-25.43,73.4,60,20,18.34,few clouds
254,Rock Springs,US,41.59,-109.2,75.2,14,1,4.7,clear sky
255,Soskovo,RU,52.75,35.38,59.83,57,79,5.86,broken clouds
256,Kharan,PK,28.58,65.42,87.28,13,0,3.22,clear sky
257,Kruisfontein,ZA,-34.0,24.73,57.99,88,100,1.99,overcast clouds
258,Piro,IN,25.33,84.42,83.57,77,74,3.51,moderate rain
259,Ketchikan,US,55.34,-131.65,57.2,93,75,10.29,broken clouds
260,Constitucion,CL,-35.33,-72.42,55.83,71,74,10.83,broken clouds
261,Susaki,JP,33.37,133.28,76.89,78,34,4.5,scattered clouds
262,Banda Aceh,ID,5.56,95.32,80.85,73,96,13.02,moderate rain
263,Alpena,US,45.06,-83.43,66.99,59,75,6.93,broken clouds
264,San-Pedro,CI,4.75,-6.64,76.17,83,86,10.22,overcast clouds
265,Yeppoon,AU,-23.13,150.73,64.4,88,40,4.7,scattered clouds
266,Tual,ID,-5.67,132.75,79.54,82,41,19.71,scattered clouds
267,Gallup,US,35.53,-108.74,84.2,17,1,11.41,clear sky
268,Angoram,PG,-4.06,144.07,73.27,98,89,2.3,overcast clouds
269,Changping,CN,40.22,116.22,78.01,77,5,2.24,light rain
270,Verkhoyansk,RU,67.54,133.38,47.68,81,68,1.14,broken clouds
271,Flinders,AU,-34.58,150.86,55.99,82,38,1.01,scattered clouds
272,San Patricio,MX,19.22,-104.7,82.4,78,90,11.41,overcast clouds
273,Yarmouth,US,41.71,-70.23,75.99,38,1,12.75,clear sky
274,Canoinhas,BR,-26.18,-50.39,83.21,41,22,4.92,few clouds
275,Gat,IL,31.61,34.76,86.0,100,0,6.44,clear sky
