City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Khao Wong,TH,79.0,broken clouds,16.7,104.09,ลำน้ำยังรีสอร์ท
507,Shetpe,KZ,76.53,few clouds,44.17,52.12,Rtsm Shetpe Analog
526,Peniche,PT,78.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
551,Itoman,JP,78.8,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
558,Bud,US,78.01,clear sky,39.45,-86.18,Madsion Scouts Camp
559,Tigzirt,DZ,76.41,clear sky,36.89,4.12,Appartement de la plage
617,Odweyne,SO,79.92,light rain,9.41,45.06,Eng Hiirey House
618,Mehran,IR,78.8,clear sky,33.12,46.16,بوتیک زنانه بهار
629,Bandarbeyla,SO,75.85,clear sky,9.49,50.81,REER XOOSHLE GROUP
654,Mahon,ES,75.2,few clouds,39.89,4.27,ARTIEM Capri
687,Guiglo,CI,77.09,light rain,6.55,-7.5,domicile de boubé TTK
699,Mayo,US,79.0,clear sky,38.89,-76.51,Resorts Resource Group International
